Douglas Adams|Douglas Noel Adams
Anna Faris|Ana faris
Mitt Romney|Willard Mitt Romney
Jonathan Winters|Jonathan Harshman Winters III
Mary Stewart|Princess Mary Stewart of Scotland
Claude Debussy|Claud Debussy
Charles II de Croy|Charles I
Junior Cesar Moreira da Cunha|Junior Cesar Moreira Da Cunha
Roy Budd|Roy Frederick Budd
Karl Bryullov|Karl Briullov
Anthony Sweijs|Sweijs
Greg Merson|Gregory Merson
William Hamilton|William Douglas Duke of Hamilton
Jason Lee|Coach Frank
Herman Melville|Hermann Melville
James Meredith|James Howard Meredith
Gualterus de Castellione|Gualterus de Insula
Francois Eduard Picot|Francois Edouard Picot
Maria de Ventadorn|Maria de Ventedorn
David Bowie|David Robert Jones
Bartolomeo Coghetto|Medoro Coghetti
Andrea del Sarto|Andreas Angeli Francisci
Alberto Dureroe|Albert Duur
Vincent van Gogh|Van Gogh
Katsushika Hokusai|Hokusai
Pinturicchio|Bernardino di Betto
Antonello da Messina|Antonello di Giovanni di Antonio
Fra Angelico|Guido di Pietro
Hans Christian Andersen|H.C. Andersen
Matsuo Basho|Basho
Pierre-Joseph Proudhon|P.-J. Proudhon
Masaccio|Tommaso di Ser Giovanni di Simone
Mao Zedong|Mao Tse-tung
Mariya Savinova|Mariya Sergeyevna Savinova
Chuck Berry|Charles Edward Anderson Berry
Yuliya Zaripova|Yuliya Mikhailovna Zaripova
Tatyana Chernova|Tatyana Sergeyevna Chernova
Tupac Shakur|2Pac
Joe Biden|Joseph Robinette Biden, Jr.
Yevgeniya Kolodko|Yevgeniya Nikolayevna Kolodko
Soren Kierkegaard|Kierkegaard
Mervyn Peake|Mervyn Laurence Peake
Jean-Jacques Rousseau|J. J. Rousseau
Louis Christophe Paul Gustave Dore|Paul-Gustave Dore
Luca Signorelli|Lucas Cortonensis
Baron d'Holbach|Paul-Henri Thiry, Baron d'Holbach
Simone de Beauvoir|Simone-Lucie-Ernestine-Marie Bertrand de Beauvoir
Ziying|Qin San Shi
Emperor Ai of Han|Liu Xin
Leo Tolstoy|Tolstoi
Emperor Gengshi of Han|Prince of Huaiyang
Emperor Zhang of Han|Han Zhangdi
Emperor He of Han|Muzong
Annette Salmeen|Annette Elizabeth Salmeen
Emperor Chong of Han|Han Chongdi
Prince of Hongnong|Liu Bian
Giuseppe Verdi|Verdi
Jacques Cartier|Jakez Carter
Otto Frank|Otto Heinrich Frank
Margot Frank|Margot Betti Frank
John Coltrane|Trane
Emperor Hui of Jin|Sima Zhong
Alfred Hitchcock|Alfred Joseph Hitchcock
Emperor Min of Jin|Jin Mindi
Emperor Yuan of Jin|Jingwen
Emperor Cheng of Jin|Sima Yan
Emperor Mu of Jin|Sima Dan
Emperor Ai of Jin|Sima Pi
Emperor Jianwen of Jin|Sima Yu
Andre Agassi|Andre Kirk Agassi
Leslie Barnett|Margaret Leslie Collard
Emma P. Carr|Emma Perry Carr
Emperor Chongzong of Western Xia|Li Qianshun
Emperor Renzong of Western Xia|Li Renxiao
Emperor Shenzong of Western Xia|Li Zunxu
Emperor Shenzong of Song|Zhao Zhongzhen
Dorothy Hodgkin|Dorothy Mary Hodgkin
Emperor Duanzong of Song|Zhao Shi
Kathleen Lonsdale|Kathleen Yardley
Tolui|Toluy
Deborah Estrin|Deborah Lynn Estrin
Judith Estrin|Judith L. Estrin
Elizabeth J. Feinler|Elizabeth Jocelyn Feinler
Ingmar Bergman|Ernst Ingmar Bergman
Ambrogio Bergognone|Borgognone
Bronzino|Agnolo di Cosimo
Ivan the Terrible|Ivan IV Vasilyevich
Winston Churchill|Sir Winston Churchill
Jules Hardouin Mansart|J. H.- Mansart
Louis Antoine de Pardaillan de Gondrin|Louis Antoine Pardaillan De Gondrin
Uta Frith|U Frith
Dean Ho|Dean Higuchi
John I of France|the Posthumous
Constantine the Great|Constantine I
Giorgione|Giorgioni di Castelfranco
Peter the Great|Peter I
Lorenzo di Credi|Lorenzo Sciarpelloni
Bernardino Luini|Bernardino Lovini
Jinzong|Taiding Di
Ragibagh Khan|Arigabag
Galen|Claudius Galenus
Ningxiao Huangdi|Yizong
Xingyuan Huangdi|Yes&#252;der
Richard Mateelong|Richard Kipkemboi Mateelong
C. S. Lewis|Clive Staples Lewis
Molon Khan|Mulan Khan
Manduul Khan|Manduuluu
Laozi|Lao Tzu
Palma Vecchio|Palma il Vecchio
Parmigianino|Girolamo Francesco Maria Mazzola
Arnold Palmer|Arnold Daniel Palmer
Paolo Veronese|Paolo Cagliari
Abid Surti|Aabid Surti
Muhammad|Abu al-Qasim Muhammad ibn 'Abd Allah ibn 'Abd al-Muttalib ibn Hashim
A. P. J. Abdul Kalam|Abdul Kalam
Shah Rukh Khan|SRK
Salman Khan|Abdul Rashid Salim Salman Khan
Katrina Kaif|Katrina Turquotte
Martin Luther|Luther
Harivansh Rai Bachchan|Harivansh Rai Shrivastav
Richard Nixon|Richard Milhous Nixon
Elizabeth II|Queen Elizabeth II
Emperor Zhongzong of Tang|Li Zhe
Emperor Ruizong of Tang|Li Xulun
Wu Zetian|Empress Consort Wu
Emperor Daizong of Tang|Li Yu
Emperor Shunzong of Tang|Li Song
Emperor Xianzong of Tang|Li Chun
Emperor Muzong of Tang|Li Heng
Yongle Emperor|Zhu Di
Hongxi Emperor|Emperor Jingtian Tidao Chuncheng Zhide Hongwen Qinwu Zhangsheng Daxiao Zhao
Xuande Emperor|Zhu Zhanji
Zhengtong Emperor|Zhu Qizhen
Hongzhi Emperor|Zhu Youcheng
Zhengde Emperor|Zhu Houzhao
Taichang Emperor|Zhu Changluo
Jacob Appelbaum|Jake Appelbaum
Edith Hannam|Edith Margaret Hannam
Catherine, Duchess of Cambridge|Catherine Middleton
Alain Prost|Alain Marie Pascal Prost
Tom Cleverley|Thomas William Cleverley
Alan Stivell|Alan Cochevelou
John Eustace|John Mark Eustace
Steve Leo Beleck|Steve Beleck
Mick Foley|Mankind
Jonathan Bond|Jonathan Henry Bond
Tommie Hoban|Tommy Hoban
Kelly Cates|Kelly Dalglish
Leo von Caprivi|Georg Leo Graf von Caprivi de Caprera de Montecuccoli
Al-Batani|Albategnius
Stephen Breyer|Stephen Gerald Breyer
Anthony Kennedy|Anthony McLeod Kennedy
Fulgencio Batista|Fulgencio Batista y Zaldivar
Louis King|Lewis King
Sue Black|Susan Elizabeth Black
Annie Easley|Annie J. Easley
Stan Coveleski|Stanley Anthony Coveleski
Jon Huntsman, Jr.|Jon Meade Huntsman, Jr.
Anne Hutchinson|Anne Marbury
Ashawna Hailey|Shawn Hailey
Steffi Graf|Stefanie Maria Graf
David Paterson|David Alexander Paterson
Lindsay Davenport|Lindsay Ann Davenport
Maria Klawe|Maria M. Klawe
Martin Van Buren|Maarten van Buren
Silvio Berlusconi|Il Cavaliere
James K. Polk|James Knox Polk
Kevin Costner|Kevin Michael Costner
Assis Chateaubriand|Francisco de Assis Chateaubriand Bandeira de Melo
Dave Grohl|David Eric Grohl
Antonio Arias Bernal|El Brigadier
Sergio Bonelli|Guido Nolitta
James Buchanan|James Buchanan, Jr.
Inna|Elena Alexandra Apostoleanu
Julio Baghy|Baghy Gyula
Beth Ditto|Mary Beth Patterson
Ferdinand II of Aragon|Ferdinand the Catholic
Simon the Zealot|Simon the Apostle
Michel Duc-Goninaz|Michel Duc Goninaz
Leopold III|King Leopold III
Albert I|King Albert I
Lidia Zamenhof|Lidja Zamenhof
Tivadar Soros|Teodoro Schwartz
Georgy V. Zaborsky|Georgy Vladimirovich Zaborsky
Henryk Julian Gay|Henry Yulievich Guy
Iosif Langbard|Josef Langbard
Merikukka Forsius|Merikukka Forsius-Harkimo
Alberto Bayo|Alberto Bayo y Giroud
Ursula Martin|Ursula Hilda Mary Martin
Tony Romo|Antonio "Tony" Ramiro Romo
Moby|Richard Melville Hall
Spencer Fullerton Baird|Spencer Baird
Wanda Orlikowski|Wanda Janina Orlikowski
William Herschel|Frederick William Herschel
Phoebe Cates Kline|Phoebe Cates
Tracy Morgan|Tracy Jamal Morgan
Mika Kojonkoski|Mika Veli Juhani Kojonkoski
Donald Tsang|Tsang Yam-kuen
Tung Chee Hwa|CH Tung
Louis C.K.|Louis CK
Paul I of Russia|Emperor of Russia Paul I
Robert Elias Fries|R.E.Fr.
William Jack|Jack
Lil Wayne|Dwayne Michael Carter, Jr.
Duccio di Buoninsegna|Duccio di Buoninsigna
Berlinghiero Berlinghieri|Berlinghiero
Daniel Passarella|Daniel Alberto Passarella
Kanye West|Kanye
Montesquieu|Charles-Louis de Secondat
Maurice Gourdault-Montagne|Maurice Gourdault-Montange CMG, CVO
Mario Benedetti|Brenno Benedetti Farrugia
Virchand Gandhi|VR Gandhi
Charles K. Kao|Charles Kao
Bruce Lee|Lee Jun-fan
Clive Sarstedt|Clive Robin Sarstedt
Jiang Zemin|Jiang Ze Min
Andy Lau|Liu Dehua
Horacio Quiroga|Horacio Silvestre Quiroga Forteza
Edgar Allan Poe|Poe
Harry Frantz|Harry Warner Frantz
Pontius Pilatus|Pontius Pilate
Soong May-ling|Soong Mei-ling
Carles Puyol|Carles Puyol Saforcada
Paolo Nespoli|Paolo Angelo Nespoli
Bibiane Weijers|Bibiane Schoofs
John von Neumann|John Von Neumann
Jean Marie Dongou|Jean Marie Dongou Tsafack
Xavi|Xavi Hernandez
Kathleen Antonelli|Kathleen McNulty Mauchly Antonelli
Lawrence of Rome|Saint Lawrence
Sappho|Sapfo
John Clayton|J.Clayton
Wolff Schoemaker|Charles Prosper Wolff Schoenmaker
Eckhard Bick|E. Bick
Osmo Buller|Osmo Tapani Buller
Montagu C. Butler|Montagu Christie Butler
Rebecca Black|Rebecca Renee Black
Anatoly Lunacharsky|Anatoly Vasil'yevich Lunacharsky
Laurie Holden|Heather Laurie Holden
Theo de Raadt|theos.com
Ryan Newman|Ryry
Philip I|Philip Hurepel
Edwin McMillan|Edwin Mattison McMillan
Jacob Adriaensz Backer|Jacob Adriaensz Backer de Oude
Henry Fonda|Henry Jaynes Fonda
Antonio Rinaldi|Rinaldi
Arthur Percival|Arthur Ernest Percival
Sarah Churchill, Duchess of Marlborough|Sarah Churchill
Alesha Dixon|Alesha Anjanette Dixon
Chester Bennington|El tio chebo
Carrie Lam|Carrie Lam Cheng Yuet-ngor
Bill Anders|William Anders
Philip I|Philip II of Palatine Burgundy
al-Muhalhil|Al-Zeir Abu layla almuhalhl
Maya Angelou|Marguerite Annie Johnson
Steve Jobs|Steven Paul Jobs
Juan Carlos I|His Majesty Juan Carlos I, King of Spain
George Biddell Airy|George Airy
Li ka shing|Li Ka Shing
Sergey Kapitsa|Sergey Petrovich Kapitsa
Axwell|Axel Christofer Hedfors
Claudius Colas|Profesoro V. Esperema
Einar Dahl|Valo
Gustave Eiffel|Todos me la pelan.
Miilkbone|Thomas Wlodarczyka
Dorothy Donaldson Buchanan|Dorothy Donaldson Fleming
Jim DeMint|James Warren "Jim" DeMint
Olympia Snowe|Olympia Jean Bouchles Snowe
Zhu De|Chu Teh
Michael S. Hart|Michael Stern Hart
Lu Xun|Zhou Shuren
Hideaki Anno|Anno Hideaki
Stanley Bruce|Stanley Melbourne Bruce
John McEwen|Sir John McEwen
Fridrikh Diurrenmatt|Friedrich Duerrenmatt
Ricky Gervais|Ricky Dene Gervais
Selena|Selena Quintanilla-alvarez
Jimmy Carter|Jimmy E. Carter
Kim J. Henriksen|Kimo
Ebenezer Howard|Sir Ebenezer Howard
Earl Mindell|Dr. Earl Mindell
Andy Panko|Andrew Panko
Digby Jones|Lord Digby Jones
Alan Nunnelee|Nunnelee
John Lewis Gaddis|Gaddis
Petrus Cunaeus|Peter van der Kun
Hermann Snellen|Herman Snellen
Andrey Kashechkin|Andrei Kashechkin
Anthon van Rappard|Anthon Gerhard Alexander van Rappard
Jean-Baptiste-Henri Deshays|Jean-Baptiste Deshays de Colleville
Anthony Swarzak|Anthony Ray Swarzak
Jared Burton|Levi Jared Burton
Alex Burnett|Alex James Burnett
Marreese Speights|Maurice Speights
Aloys Thomas Raimund|Aloys Thomas Raimund Graf Harrach
Eden Sher|Eden Rebecca Sher
Richard Meinertzhagen|Richard Henry Meinertzhagen CBE DSO
Alexei Maximov|Aleksey Aleksandrovich Maksimov
Varazdat|Varazdat of Armenia
Edward Douglass White|Edward White
Stefan the First-Crowned|Stefan the First Crowned
Kubanychbek Jumaliyev|Kubanychbek Zhumaliev
Thomas Robinson, 2nd Baron Grantham|The Lord Grantham
Rustam Khamdamov|Rustam Usmanovich Khamdamov
Jumabek Ibraimov|Zhumabek Ibraimov
Evgeny Biryukov|Yevgeni Biryukov
Tatyana Sidorova|Tatyana Alexandrovna Sidorova
Orson Welles|George Orson Welles
Louis-Maxime Raybaud|Maxime Raybaud
Charles Bolden|Charles F. Bolden
John Cleese|John Marwood Cleese
Adalbert I|Duke of Teck
Franco Battiato|Francesco Battiato
Jean Poldo d'Albenas|Jean Poldo D'Albenas
Christopher Nolan|Christopher Jonathan James Nolan
Daniele Crespi|Daniel Crespi
12th Dalai Lama|Trinley Gyatso
10th Dalai Lama|Tsultrim Gyatso
Dwight Howard|Dwight David Howard
Kobe Bryant|Kobe Bean Bryant
Francis Russell, 5th Duke of Bedford|Francis Russell
Francis Russell, 7th Duke of Bedford|Francis Russell
Mikko Paananen|Mikko Henrik Julius Paananen
Fred Lynn|Frederic Michael Lynn
Quade Cooper|Quade S. Cooper
Carlos PenaVega|Carlos Roberto PenaVega
James Maslow|James David Maslow Burge
Mikhail Varnakov|Mikhail Mikhaylovich Varnakov
Aksana|Zivile Raudoniene
Carol Greider|Carol W. Greider
Marcus Ummidius Quadratus Annianus|Marcus Ummidius Quadratus
David Giuntoli|David C. Giuntoli
Ray Chan|The Hon. Raymond "Ray" CHAN Chi-chuen
Big Van Vader|Leon Allen White
Taylor Swift|Taylor Alison Swift
Melvil Dewey|Melville Louis Kossuth Dewey
Franz von Bayros|Franz Von Bayros
P. K. Subban|Pernell Karl Subban
Jin I-han|Jin Yi-han
Adolf Eichmann|Otto Adolf Eichmann
Scott Adkins|Scott Edward Adkins
Nicky Hopkins|Nicholas Christian Hopkins
Brendan Sexton III|Brendan Eugene Sexton III
Garry Kasparov|Gary Kasparov
Kim Ho-kon|Kim Ho-gon
Eugen Wacker|Evgeny Vakker
Charles Oman|Charles William Chadwick Oman
Mohammad Hatta|Bung Hatta
Gaetano Apolline Baldassarre Vestris|Gaetano Apoline Balthazar Vestris
Hayam Wuruk|Rajasanagara
Matthew Lillard|Matthew Lyn Lillard
J. Horace Round|John Horace Round
Bill Murray|William James "Bill" Murray
Maniche|Nuno Ricardo de Oliveira Ribeiro
Klay Thompson|Klay Alexander Thompson
Rod Milburn|Rodney "Rod" Milburn, Jr.
John Ashbery|G'on Ashberi
Cosimo Rosselli|Cosimo Roselli
Pietro Metastasio|Metastasio
Missy Cummings|Mary Cummings
Jonny Evans|Jonathan Grant Evans
Jan Davis|Nancy Jan Davis
Louise Johnson|Professor Dame Louise Napier Johnson
Bonnie J. Dunbar|Bonnie Jeanne Dunbar
Toni El Suizo|Swiss Toni
Adam Laxman|Adam Kirillovich Laxman
Avril Lavigne|Avril Ramona Lavigne
Mikhail Gorbachev|Mikhail Sergeyevich Gorbachev
Bailey Jay|Line Trap
Constantine IX Monomachos|Constantine IX Monomachus
Sophus Lie|Marius Sophus Lie
Eike Batista|Eike Fuhrken Batista
Patti LaBelle|Patricia Louise Holte-Edwards
Queen Paola of Belgium|Paola Ruffo di Calabria
Ellie Goulding|Elena Jane Goulding
Francis Russell, 9th Duke of Bedford|Francis Charles Hastings Russell
Joseph Dergham El Khazen|Joseph V Dergham El Khazen
Jacob Awad|Jacob IV Awad
Susanne von Klettenberg|Susanne Katharina Seiffart von Klettenberg
Archbishop Damaskinos Papandreou|Archbishop Damaskinos of Athens
Jan Mandijn|Jan Mandyn
Aleksandr Kotov|Aleksandr Yuryevich Kotov
Roman Kosyanchuk|Roman Igorevich Kosyanchuk
Endo Kenji|Kenji Endo
Jean-Louis Lefebvre de Cheverus|Jean-Louis Anne Madelain Lefebvre de Cheverus
Vladimir Kozhevnikov|Vladimir Aleksandrovich Kozhevnikov
Hua Tuo|Yuanhua
Hermidita|Manuel Hermida Losada
Danni Ashe|Leah Manzari
William Kennedy|William Joseph Kennedy
Sergey Shoygu|Sergey Kuzhugetovich Shoygu
Jang Keun-suk|Jang Geun-suk
Victor Alter|Wiktor Alter
Gaios Skordilis|Gkay Skordilis
Jon Schillaci|Jon Savarino Schillaci
Jennifer Aniston|Jennifer Joanna Aniston
Laureano Ruiz|Laureano Ruiz Quevedo
Viktor-Andrey Borovik-Romanov|Viktor-Andrey Stanislavovich Borovik-Romanov
Fran Lebowitz|Frances Ann Lebowitz
Michael Grimm|Michael Gerard Grimm
Malala Yousafzai|Fatmagul
Carl Jaenisch|Carl Friedrich Andreyevich von Jaenisch
Akon|Aliaune Damala Badara Gunio Akon Thiam Viorel
Jimmy Van Heusen|James Van Heusen
Marie Jeanne of Savoy|de Savoie-Nemours, Duchesse de Savoie Marie-Jeanne-Baptiste
Leon Trotsky|Lev Davidovich Bronshtein
Marcel Reich-Ranicki|Marcel Reich
Bertrand Russell|Bertrand Arthur William Russell
Theodore Roosevelt|Teddy
Julian the Apostate|Flavius Claudius Iulianus
Jules Verne|Jules Gabriel Verne
August Macke|August Robert Ludwig Macke
Alexander Graham Bell|Graham Bell
Pierre Edmond Boissier|Boiss.
Michael Reiziger|Michael John Reiziger
Franz Rohr von Denta|Franz Rohr
Elizabeth Taylor|Elizabeth Rosemond Taylor
Benjamin Franklin|The First American
Frances Fisher|Frances Louise Fisher
Thomas Pynchon|Thomas Ruggles Pynchon, Jr.
Grover Cleveland|Grover Cleveland Jr.
Akiho Yoshizawa|Acky
Gertrude B. Elion|Gertrude Belle Elion
Velimir Khlebnikov|Velimir Viktor Vladimirovich Khlebnikov
Emmy Rossum|Emmanuelle Grey "Emmy" Rossum
Ayila Yussuf|Aila Yussuf
Aria Giovanni|Cindy Renee Volk
Su Shi|Su Dongpo
Charles Bronson|Charles Dennis Buchinsky
Muhammad Ali|Cassius Clay
Sergei Lebedev|Sergey Nikolayevich Lebedev
Charles II of Spain|El Hechizado
Bill Tarmey|William Piddington
Molly Quinn|Molly C. Quinn
Mark Zuckerberg|Mark Elliott Zuckerberg
Amber Rayne|Meghan Wren
Angela Devi|Shunali Dhingra
Hannibal|Hannibal Barca
Denzil Ibbetson|Sir Denzil Charles Jelf Ibbetson
Henrik Ibsen|Henrik Johan Ibsen
Eazy-E|Eric Wright
Jackie Chan|Cheng Lung
Toshiro Mifune|Mifune Toshiro
John VIII Palaiologos|empereur d'Orient Jean VIII
Alexander Fleming|Sir Alexander Fleming
Constantine XI Palaiologos pepillo|Constantine XI Dragases Palaiologos
Robert Koch|Robert Heinrich Herman Koch
John Paul I|Albino Luciani
John Michael Talbot|John Talbot
Nicole Kidman|Nicole Mary Kidman
Donatello|Donato de' Bardi
Mila Kunis|Milena Markovna Kunis
Uthman ibn Affan|Al Ghani
Martin Moynihan|Martin H. Moynihan
Johannes Nielsen|Carl Johannes Nielsen
John Thynne|Sir John Thynne
Helen Keller|Helen Adams Keller
Enya|Enya Brennan
Paco Campos|Francisco Campos Salamanca
A. O. Scott|Anthony Oliver Scott
Gabriel of Lovech|Tsvetan Dinew
John Steinbeck|John Ernst Steinbeck, Jr.
Hoodie Allen|Steven Adam Markowitz
Igor Golban|Igor Valeryevich Golban
Emma Watson|Emma Charlotte Duerre Watson Luesby
Butch Otter|Clement Leroy Otter
Ali|Ali ibn Abi Talib
Johann Ludwig Burckhardt|John Lewis Burckhardt
Daniel Solander|Sol.
Stephen King|Stephen Edwin King
Nostradame|Michel de Nostredame
Chris Bauer|Mark Christopher Bauer
Anthony Rapp|Anthony Deane Rapp
Kate Walsh|Kathrin Louise Richardson-Walsh
T. R. Knight|Theodore Raymond Knight
Chandra Wilson|Chandra Danette Wilson
Omar Ali Saifuddin II|Sultan Omar Ali Saifuddien II
Muhammad Jamalul Alam II|Duli Yang Maha Mulia Sultan Muhammad Jamalul Alam II ibni al-Marhum Sultan Hashim Jalilul Alam Aqamaddin
Ahmad Tajuddin|Duli Yang Maha Mulia Sultan Sir Ahmad Tajuddin Akhazul Khairi Waddien ibni Almarhum Sir Sultan Mohammad Jamalul Alam II
Mike Vogel|Michael James Vogel
Willem Claeszoon Heda|Willem Claesz Heda
Cleopatra V of Egypt|Cleopatra V Tryphaena of Egypt
Arsinoe III of Egypt|Arsinoe III Philopator
Helen Richardson|Helen Richardson-Walsh
Edward Frenkel|Frenkel
Abdurrahim El-Keib|Abdurrahim Abdulhafiz El-Keib
Tammy Baldwin|Tammy Suzanne Green Baldwin
Cristina Fernandez|CF.
John the Baptist|Saint John the Baptist
Jennifer Lopez|Jennifer Lynn Lopez
Dilma Rousseff|Dilma Vana Rousseff
Doris Lessing|Doris May Tayler
Daniel Defoe|Daniel Foe
Julie Adams|Julia Adams
Martin Scorsese|Martin Skorseze
Timothy Dalton|Timothy Peter Dalton
John Dalton|Jn.Dalton
Edvard Munch|E. Munch
Michael Jordan|Michael Jeffrey Jordan
Mark Ruffalo|Mark Alan Ruffalo
Robert L. Stewart|Robert Lee Stewart
Pauline Gower|Pauline Mary de Peauly Gower
Ludwig Mies van der Rohe|Mies van der Rohe
Ard Schenk|Adrianus Schenk
Julia Gillard|Julia Eileen Gillard
Susan J. Helms|Susan Jane Helms
Kathryn P. Hire|Kathryn Patricia Kay Hire
Steve Mahre|Philip Mahre
Alexander Solodukha|Alexander Antonovich Solodukha
Romanos II|Romanus II
Kenny Miller|Kenneth "Kenny" Miller
Rosa Parks|Rosa "Lee" Louise McCauley Parks
Henri Bergson|Henri-Louis Bergson
ealiaesean|Bjork
Audrey Hepburn|Audrey Kathleen Ruston
Leif Erikson|Leif Eiricson
Dustin Hoffman|Dustin Lee Hoffman
Diocletian|Caius Aurelius Valerius Diocletianus
Kevin Rudd|Kevin Michael Rudd
Defendente Ferrari|Defendente Deferrari
Muqali|Mukhali
Andrew|Andreas
Gustave Flaubert|Lou-pai Fu
Erasmus|Erasmus of Rotterdam
Sitting Bull|Tatanka Iyotanka
Philip the Apostle|Recoge fresas en murcia
Ambrose|saint ambrose
Vlad Tepes|Vlad the Impaler
Pius IX|Pope Pius IX
Pius X|Pope Pius X
Irina Kiseleva|Irina Vladimirovna Kiseleva
Norbert Gastell|Emilio Norberto Otto Max Gastel
Jakob Geis|Papa Geis
John Thynne, 4th Marquess of Bath|John Alexander Thynne, 4th Marquess of Bath
Leo XIII|Pope Leo XIII
Andrea Pirlo|Dios Pirlo
Angus Young|Angus McKinnon Young
Jude the Apostle|Judas Thaddaeus
Tammy Lynn Sytch|Tamara Lynn Sytch
Louis the Pious|the Fair
Ludwig II of Bavaria|Ludwig II.
Jessica Alba|Jessica Marie Alba
Rey Mysterio|Rey Mysterio Jr
Helmuth von Moltke the Elder|Helmuth Karl Bernhard von Moltke
Anders Behring Breivik|Anders Breivik
Max Klinger|Makkusu Kuringa
Riona Hazuki|Mai Yamada
Ignatius of Loyola|Saint Ignatius of Loyola
Mohd Zakry Abdul Latif|Zakry Abdul Latif
Chris Benoit|Christ Benoit
Heinrich Gustav Magnus|Heinrich Magnus
Maximilian I Joseph of Bavaria|Maximilian I. von Bayern
Theo Rossi|Rupert Alexander Lloyd Grint
Tarcisio Bertone|Tarcisio Pietro Evasio Bertone
Netsky|Boris Daenen
Courtney Hodges|Courtney Hicks Hodges
Matt Stone|Matthew Richard "Matt" Stone
Randy Orton|Randall Keith Orton
Alexander Oparin|Alexander Ivanovich Oparin
Triple H|Paul Levesque
Eduardo Galeano|Eduardo Hughes Galeano
Wyatt Earp|Wyatt Berry Stapp Earp
Peter Canisius|Peter Canisius, S.J.
Montel Vontavious Porter|Hassan Hamin Assad
Malcolm Young|Malcolm Mitchell Young
Santino Marella|Anthony Carelli
Chavo Guerrero|Chavo Guerrero Jr
Zaur Kunizhev|Zaur Aslanovich Kunizhev
Henry Gunther|Henry Nicholas John Gunther
Eric Berne|Eric Lennard Bernstein
Jackie Jackson|Sigmund Esco Jackson
